cycle,cycle_folder,deck_file,slide,slide_title,link_form,link_text,url,classification,drive_id,id_len,status,found_at,suggested_fix,fix_note
Cycle 05,Cycle 05 — Photosynthesis (Unit 1),▶ LIVE — Cycle 05 — Photosynthesis.pptx,26,Optional challenge,run,Model the atoms: PhET — Build a Molecule,https://phet.colorado.edu/en/simulations/build-a-molecule,external,,,external (not checked live),n/a — external,,
Cycle 05,Cycle 05 — Photosynthesis (Unit 1),▶ LIVE — Cycle 05 — Photosynthesis.pptx,30,Activity and resource links,printed+run,https://answerable-biology-models.netlify.app/photosynthesis.html,https://answerable-biology-models.netlify.app/photosynthesis.html,external,,,external (not checked live),n/a — external,,
Cycle 05,Cycle 05 — Photosynthesis (Unit 1),▶ LIVE — Cycle 05 — Photosynthesis.pptx,30,Activity and resource links,printed+run,https://biomanbio.com/HTML5GamesandLabs/PhotoRespgames/photointeractivehtml5page.html,https://biomanbio.com/HTML5GamesandLabs/PhotoRespgames/photointeractivehtml5page.html,external,,,external (not checked live),n/a — external,,
Cycle 05,Cycle 05 — Photosynthesis (Unit 1),▶ LIVE — Cycle 05 — Photosynthesis.pptx,30,Activity and resource links,endParaRPr+printed+run,https://biomanbio.com/HTML5GamesandLabs/PhotoRespgames/photoresphtml5page.html,https://biomanbio.com/HTML5GamesandLabs/PhotoRespgames/photoresphtml5page.html,external,,,external (not checked live),n/a — external,,
Cycle 05,Cycle 05 — Photosynthesis (Unit 1),▶ LIVE — Cycle 05 — Photosynthesis.pptx,30,Activity and resource links,run,Teacher — Photosynthesis Activity Guide,https://drive.google.com/file/d/16h6JnRixT42yC63HWGw37xBFIxyhS6tk/view,drivefile/view,16h6JnRixT42yC63HWGw37xBFIxyhS6tk,33,OK — file found,kvd@answerableteaching.com : My Drive/BIOLOGY (Shared)/Cycle 05 — Photosynthesis (Unit 1)/My Class only (print),,
Cycle 05,Cycle 05 — Photosynthesis (Unit 1),▶ LIVE — Cycle 05 — Photosynthesis.pptx,30,Activity and resource links,run,Photosynthesis Leaf-Disk Lab,https://drive.google.com/file/d/1QlALR7naF23AqsE4j7Jr-B6HvLTdxfru/view,drivefile/view,1QlALR7naF23AqsE4j7Jr-B6HvLTdxfru,33,OK — file found,kvd@answerableteaching.com : My Drive/BIOLOGY (Shared)/Cycle 05 — Photosynthesis (Unit 1)/My Class only (print),,
Cycle 05,Cycle 05 — Photosynthesis (Unit 1),▶ LIVE — Cycle 05 — Photosynthesis.pptx,30,Activity and resource links,run,Where Does a Tree's Mass Come From — Van Helmont,https://drive.google.com/file/d/1Vybu8iVyXmx1BHKk10E0Vc8ozOx6NdUu/view,drivefile/view,1Vybu8iVyXmx1BHKk10E0Vc8ozOx6NdUu,33,OK — file found,kvd@answerableteaching.com : My Drive/BIOLOGY (Shared)/Cycle 05 — Photosynthesis (Unit 1),,
Cycle 05,Cycle 05 — Photosynthesis (Unit 1),▶ LIVE — Cycle 05 — Photosynthesis.pptx,30,Activity and resource links,printed+run,https://flexbooks.ck12.org/cbook/ck-12-biology-flexbook-2.0/section/2.23/primary/lesson/photosynthesis-summary-bio/,https://flexbooks.ck12.org/cbook/ck-12-biology-flexbook-2.0/section/2.23/primary/lesson/photosynthesis-summary-bio/,external,,,external (not checked live),n/a — external,,
Cycle 05,Cycle 05 — Photosynthesis (Unit 1),▶ LIVE — Cycle 05 — Photosynthesis.pptx,30,Activity and resource links,printed+run,https://phet.colorado.edu/en/simulations/build-a-molecule,https://phet.colorado.edu/en/simulations/build-a-molecule,external,,,external (not checked live),n/a — external,,
Cycle 05,Cycle 05 — Photosynthesis (Unit 1),▶ LIVE — Cycle 05 — Photosynthesis.pptx,30,Activity and resource links,printed+run,https://www.khanacademy.org/science/high-school-biology/hs-energy-and-transport/hs-photosynthesis,https://www.khanacademy.org/science/high-school-biology/hs-energy-and-transport/hs-photosynthesis,external,,,external (not checked live),n/a — external,,
Cycle 05,Cycle 05 — Photosynthesis (Unit 1),▶ LIVE — Cycle 05 — Photosynthesis.pptx,30,Activity and resource links,printed+run,https://www.sciencebuddies.org/science-fair-projects/project-ideas/PlantBio_p053/plant-biology/photosynthesis-leaf-disk-assay,https://www.sciencebuddies.org/science-fair-projects/project-ideas/PlantBio_p053/plant-biology/photosynthesis-leaf-disk-assay,external,,,external (not checked live),n/a — external,,
Cycle 05,Cycle 05 — Photosynthesis (Unit 1),▶ LIVE — Cycle 05 — Photosynthesis.pptx,31,Image credits,printed,"Icons: Twemoji by X/Twitter, CC BY 4.0 — https://github.com/jdecked/twemoji",https://github.com/jdecked/twemoji,external,,,external (not checked live),n/a — external,,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,1,TEACHER REFERENCE — not projected to students,run,Fermentation Guide,https://docs.google.com/document/d/10J3Ixd3fyWUTLAQXfhwynAe0yvFzWbQx/edit?usp=sharing&ouid=112216964722103758648&rtpof=true&sd=true,gdoc/edit,10J3Ixd3fyWUTLAQXfhwynAe0yvFzWbQx,33,OK — file found,kvd@answerableteaching.com : My Drive/BIOLOGY (Shared)/Cycle 06 — Cellular Respiration & Fermentation (Unit 1),,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,1,TEACHER REFERENCE — not projected to students,run,Challenge,https://docs.google.com/document/d/1Bnl1wo6NIttXtnBleBkmAK3GxobTLFbj/edit?usp=sharing&ouid=112216964722103758648&rtpof=true&sd=true,gdoc/edit,1Bnl1wo6NIttXtnBleBkmAK3GxobTLFbj,33,OK — file found,kvd@answerableteaching.com : My Drive/BIOLOGY (Shared)/Cycle 06 — Cellular Respiration & Fermentation (Unit 1),,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,1,TEACHER REFERENCE — not projected to students,run,Cellular Respiration — CA1 worksheet,https://docs.google.com/document/d/1wBLxic3jHtPKsO8eHRWXuZ5C1FbmBrvY/edit?usp=sharing&ouid=112216964722103758648&rtpof=true&sd=true,gdoc/edit,1wBLxic3jHtPKsO8eHRWXuZ5C1FbmBrvY,33,OK — file found,kvd@answerableteaching.com : My Drive/BIOLOGY (Shared)/Cycle 06 — Cellular Respiration & Fermentation (Unit 1),,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,1,TEACHER REFERENCE — not projected to students,run,Cellular Respiration — CA2 worksheet · 1 per student,https://docs.google.com/document/d/1xBXmBuMX2Q24zgI4ZX9bzmEoR6d5emzK/edit?usp=sharing&ouid=112216964722103758648&rtpof=true&sd=true,gdoc/edit,1xBXmBuMX2Q24zgI4ZX9bzmEoR6d5emzK,33,OK — file found,kvd@answerableteaching.com : My Drive/BIOLOGY (Shared)/Cycle 06 — Cellular Respiration & Fermentation (Unit 1),,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,1,TEACHER REFERENCE — not projected to students,printed+run,Gizmo: Cell Energy Cycle (ExploreLearning subscription) https://gizmos.explorelearning.com/find-gizmos/lesson-info?resourceId=455,https://gizmos.explorelearning.com/find-gizmos/lesson-info?resourceId=455,external,,,external (not checked live),n/a — external,,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,1,TEACHER REFERENCE — not projected to students,printed+run,HHMI BioInteractive — Citric Acid Cycle (extra challenge) https://www.biointeractive.org/classroom-resources/citric-acid-cycle,https://www.biointeractive.org/classroom-resources/citric-acid-cycle,external,,,external (not checked live),n/a — external,,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,1,TEACHER REFERENCE — not projected to students,printed+run,Amoeba Sisters — Fermentation — https://www.youtube.com/watch?v=YbdkbCU20_M,https://www.youtube.com/watch?v=YbdkbCU20_M,external,,,external (not checked live),n/a — external,,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,1,TEACHER REFERENCE — not projected to students,printed+run,Amoeba Sisters — Cellular Respiration (Updated) — https://www.youtube.com/watch?v=eJ9Zjc-jdys,https://www.youtube.com/watch?v=eJ9Zjc-jdys,external,,,external (not checked live),n/a — external,,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,6,Bellringer,run,CK-12 Biology — Cellular Respiration (2.26),https://flexbooks.ck12.org/cbook/ck-12-biology-flexbook-2.0/section/2.26/primary/lesson/cellular-respiration-bio/,external,,,external (not checked live),n/a — external,,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,6,Bellringer,run,"Watch sugar get broken down inside a cell, one small step at a time.",https://www.biomanbio.com/HTML5GamesandLabs/PhotoRespgames/respiration-interactive-page.html,external,,,external (not checked live),n/a — external,,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,6,Bellringer,run,Khan Academy — Cellular respiration,https://www.khanacademy.org/science/high-school-biology/hs-energy-and-transport/hs-cellular-respiration,external,,,external (not checked live),n/a — external,,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,8,Respiration runs photosynthesis in reverse,run,Cellular Respiration — CA2 worksheet,https://docs.google.com/document/d/1xBXmBuMX2Q24zgI4ZX9bzmEoR6d5emzK/edit?usp=sharing&ouid=112216964722103758648&rtpof=true&sd=true,gdoc/edit,1xBXmBuMX2Q24zgI4ZX9bzmEoR6d5emzK,33,OK — file found,kvd@answerableteaching.com : My Drive/BIOLOGY (Shared)/Cycle 06 — Cellular Respiration & Fermentation (Unit 1),,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,11,Explore — the Respiration ATP Model,printed+run,https://answerable-biology-models.netlify.app/respiration.html,https://answerable-biology-models.netlify.app/respiration.html,external,,,external (not checked live),n/a — external,,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,18,Day 1 activity · Critical Aspect 1,run,Open: Cellular Respiration — CA1 Worksheet (in this cycle's folder),https://docs.google.com/document/d/1wBLxic3jHtPKsO8eHRWXuZ5C1FbmBrvY/edit?usp=sharing&ouid=112216964722103758648&rtpof=true&sd=true,gdoc/edit,1wBLxic3jHtPKsO8eHRWXuZ5C1FbmBrvY,33,OK — file found,kvd@answerableteaching.com : My Drive/BIOLOGY (Shared)/Cycle 06 — Cellular Respiration & Fermentation (Unit 1),,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,26,Day 2 activity · Critical Aspect 2,run,Open: Science World — Yeast-Inflated Balloons,https://docs.google.com/document/d/10J3Ixd3fyWUTLAQXfhwynAe0yvFzWbQx/edit?usp=sharing&ouid=112216964722103758648&rtpof=true&sd=true,gdoc/edit,10J3Ixd3fyWUTLAQXfhwynAe0yvFzWbQx,33,OK — file found,kvd@answerableteaching.com : My Drive/BIOLOGY (Shared)/Cycle 06 — Cellular Respiration & Fermentation (Unit 1),,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,28,Optional challenge,run,Need the ATP tally again? Open: BioMan — Respiration Interactive,https://www.biomanbio.com/HTML5GamesandLabs/PhotoRespgames/respiration-interactive-page.html,external,,,external (not checked live),n/a — external,,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,30,CONCEPT BANK,run,CK-12 Biology — Cellular Respiration (2.26),https://flexbooks.ck12.org/cbook/ck-12-biology-flexbook-2.0/section/2.26/primary/lesson/cellular-respiration-bio/,external,,,external (not checked live),n/a — external,,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,30,CONCEPT BANK,run,Khan Academy — Cellular respiration,https://www.khanacademy.org/science/high-school-biology/hs-energy-and-transport/hs-cellular-respiration,external,,,external (not checked live),n/a — external,,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,32,Activity and resource links,printed+run,https://answerable-biology-models.netlify.app/respiration.html,https://answerable-biology-models.netlify.app/respiration.html,external,,,external (not checked live),n/a — external,,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,32,Activity and resource links,run,Teacher — Fermentation Activity Guide,https://drive.google.com/file/d/10J3Ixd3fyWUTLAQXfhwynAe0yvFzWbQx/view,drivefile/view,10J3Ixd3fyWUTLAQXfhwynAe0yvFzWbQx,33,OK — file found,kvd@answerableteaching.com : My Drive/BIOLOGY (Shared)/Cycle 06 — Cellular Respiration & Fermentation (Unit 1),,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,32,Activity and resource links,run,Cellular Respiration — simple worksheet,https://drive.google.com/file/d/1Bnl1wo6NIttXtnBleBkmAK3GxobTLFbj/view,drivefile/view,1Bnl1wo6NIttXtnBleBkmAK3GxobTLFbj,33,OK — file found,kvd@answerableteaching.com : My Drive/BIOLOGY (Shared)/Cycle 06 — Cellular Respiration & Fermentation (Unit 1),,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,32,Activity and resource links,run,https://drive.google.com/file/d/1wBLxic3jHtPKsO8eHRWXuZ5C1FbmBrvY/view,https://drive.google.com/file/d/1SK3ONY4nwLKp1X_E3-2XyqCcuS59vSWr/view,drivefile/view,1SK3ONY4nwLKp1X_E3-2XyqCcuS59vSWr,33,BROKEN — hyperlink disagrees with the URL printed beside it,"SHARED tree, Cycle 06 :: Cycle 06 — Cellular Respiration — CA1 Worksheet.docx",https://drive.google.com/file/d/1wBLxic3jHtPKsO8eHRWXuZ5C1FbmBrvY/view,the slide PRINTS 1wBLxic3... and that id resolves; the live hyperlink goes to 1SK3ONY4... which resolves nowhere. Fix = make the link match its own printed URL. Two independent signals agree.
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,32,Activity and resource links,printed+run,https://drive.google.com/file/d/1wBLxic3jHtPKsO8eHRWXuZ5C1FbmBrvY/view,https://drive.google.com/file/d/1wBLxic3jHtPKsO8eHRWXuZ5C1FbmBrvY/view,drivefile/view,1wBLxic3jHtPKsO8eHRWXuZ5C1FbmBrvY,33,OK — file found,kvd@answerableteaching.com : My Drive/BIOLOGY (Shared)/Cycle 06 — Cellular Respiration & Fermentation (Unit 1),,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,32,Activity and resource links,run,Cellular Respiration — CA2 worksheet,https://drive.google.com/file/d/1xBXmBuMX2Q24zgI4ZX9bzmEoR6d5emzK/view,drivefile/view,1xBXmBuMX2Q24zgI4ZX9bzmEoR6d5emzK,33,OK — file found,kvd@answerableteaching.com : My Drive/BIOLOGY (Shared)/Cycle 06 — Cellular Respiration & Fermentation (Unit 1),,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,32,Activity and resource links,printed+run,https://flexbooks.ck12.org/cbook/ck-12-biology-flexbook-2.0/section/2.26/primary/lesson/cellular-respiration-bio/,https://flexbooks.ck12.org/cbook/ck-12-biology-flexbook-2.0/section/2.26/primary/lesson/cellular-respiration-bio/,external,,,external (not checked live),n/a — external,,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,32,Activity and resource links,endParaRPr+run,https://www.biomanbio.com/HTML5GamesandLabs/PhotoRespgames/respiration-interactive-page.html,https://www.biomanbio.com,external,,,external (not checked live),n/a — external,,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,32,Activity and resource links,printed+run,https://www.biomanbio.com/HTML5GamesandLabs/PhotoRespgames/respiration-interactive-page.html,https://www.biomanbio.com/HTML5GamesandLabs/PhotoRespgames/respiration-interactive-page.html,external,,,external (not checked live),n/a — external,,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,32,Activity and resource links,printed+run,https://www.khanacademy.org/science/high-school-biology/hs-energy-and-transport/hs-cellular-respiration,https://www.khanacademy.org/science/high-school-biology/hs-energy-and-transport/hs-cellular-respiration,external,,,external (not checked live),n/a — external,,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,32,Activity and resource links,printed+run,https://www.scienceworld.ca/resource/yeast-inflated-balloons/,https://www.scienceworld.ca/resource/yeast-inflated-balloons/,external,,,external (not checked live),n/a — external,,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,33,Image credits,printed,"“Hand Holdng Fire Toasted Marshmallow” — Pink Sherbet Photography (D. Sharon Pruitt), CC BY 2.0 — https://commons.wikimedia.org/wiki/File:Hand_Holdng_Fire_Toasted_Marshmallow_(3310040440).jpg",https://commons.wikimedia.org/wiki/File:Hand_Holdng_Fire_Toasted_Marshmallow_(3310040440,external,,,external (not checked live),n/a — external,,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,33,Image credits,printed,"“Human cheek cells from science class” — Kyreb, CC0 — https://commons.wikimedia.org/wiki/File:Human_cheek_cells_from_science_class.jpg",https://commons.wikimedia.org/wiki/File:Human_cheek_cells_from_science_class.jpg,external,,,external (not checked live),n/a — external,,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,33,Image credits,printed,"“Mitochondria, mammalian lung - TEM” — Louisa Howard, Public domain — https://commons.wikimedia.org/wiki/File:Mitochondria,_mammalian_lung_-_TEM.jpg","https://commons.wikimedia.org/wiki/File:Mitochondria,_mammalian_lung_-_TEM.jpg",external,,,external (not checked live),n/a — external,,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,33,Image credits,printed,"“S cerevisiae under DIC microscopy” — Masur, Public domain — https://commons.wikimedia.org/wiki/File:S_cerevisiae_under_DIC_microscopy.jpg",https://commons.wikimedia.org/wiki/File:S_cerevisiae_under_DIC_microscopy.jpg,external,,,external (not checked live),n/a — external,,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation — with Concept Bank.pptx,33,Image credits,printed,"Icons: Twemoji by X/Twitter, CC BY 4.0 — https://github.com/jdecked/twemoji",https://github.com/jdecked/twemoji,external,,,external (not checked live),n/a — external,,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation.pptx,1,TEACHER REFERENCE — not projected to students,run,Fermentation Guide,https://docs.google.com/document/d/10J3Ixd3fyWUTLAQXfhwynAe0yvFzWbQx/edit?usp=sharing&ouid=112216964722103758648&rtpof=true&sd=true,gdoc/edit,10J3Ixd3fyWUTLAQXfhwynAe0yvFzWbQx,33,OK — file found,kvd@answerableteaching.com : My Drive/BIOLOGY (Shared)/Cycle 06 — Cellular Respiration & Fermentation (Unit 1),,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation.pptx,1,TEACHER REFERENCE — not projected to students,run,Challenge,https://docs.google.com/document/d/1Bnl1wo6NIttXtnBleBkmAK3GxobTLFbj/edit?usp=sharing&ouid=112216964722103758648&rtpof=true&sd=true,gdoc/edit,1Bnl1wo6NIttXtnBleBkmAK3GxobTLFbj,33,OK — file found,kvd@answerableteaching.com : My Drive/BIOLOGY (Shared)/Cycle 06 — Cellular Respiration & Fermentation (Unit 1),,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation.pptx,1,TEACHER REFERENCE — not projected to students,run,Cellular Respiration — CA1 worksheet,https://docs.google.com/document/d/1wBLxic3jHtPKsO8eHRWXuZ5C1FbmBrvY/edit?usp=sharing&ouid=112216964722103758648&rtpof=true&sd=true,gdoc/edit,1wBLxic3jHtPKsO8eHRWXuZ5C1FbmBrvY,33,OK — file found,kvd@answerableteaching.com : My Drive/BIOLOGY (Shared)/Cycle 06 — Cellular Respiration & Fermentation (Unit 1),,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation.pptx,1,TEACHER REFERENCE — not projected to students,run,Cellular Respiration — CA2 worksheet · 1 per student,https://docs.google.com/document/d/1xBXmBuMX2Q24zgI4ZX9bzmEoR6d5emzK/edit?usp=sharing&ouid=112216964722103758648&rtpof=true&sd=true,gdoc/edit,1xBXmBuMX2Q24zgI4ZX9bzmEoR6d5emzK,33,OK — file found,kvd@answerableteaching.com : My Drive/BIOLOGY (Shared)/Cycle 06 — Cellular Respiration & Fermentation (Unit 1),,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation.pptx,1,TEACHER REFERENCE — not projected to students,printed+run,Gizmo: Cell Energy Cycle (ExploreLearning subscription) https://gizmos.explorelearning.com/find-gizmos/lesson-info?resourceId=455,https://gizmos.explorelearning.com/find-gizmos/lesson-info?resourceId=455,external,,,external (not checked live),n/a — external,,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation.pptx,1,TEACHER REFERENCE — not projected to students,printed+run,HHMI BioInteractive — Citric Acid Cycle (extra challenge) https://www.biointeractive.org/classroom-resources/citric-acid-cycle,https://www.biointeractive.org/classroom-resources/citric-acid-cycle,external,,,external (not checked live),n/a — external,,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation.pptx,1,TEACHER REFERENCE — not projected to students,printed+run,Amoeba Sisters — Fermentation — https://www.youtube.com/watch?v=YbdkbCU20_M,https://www.youtube.com/watch?v=YbdkbCU20_M,external,,,external (not checked live),n/a — external,,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation.pptx,1,TEACHER REFERENCE — not projected to students,printed+run,Amoeba Sisters — Cellular Respiration (Updated) — https://www.youtube.com/watch?v=eJ9Zjc-jdys,https://www.youtube.com/watch?v=eJ9Zjc-jdys,external,,,external (not checked live),n/a — external,,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation.pptx,6,Bellringer,run,CK-12 Biology — Cellular Respiration (2.26),https://flexbooks.ck12.org/cbook/ck-12-biology-flexbook-2.0/section/2.26/primary/lesson/cellular-respiration-bio/,external,,,external (not checked live),n/a — external,,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation.pptx,6,Bellringer,run,"Watch sugar get broken down inside a cell, one small step at a time.",https://www.biomanbio.com/HTML5GamesandLabs/PhotoRespgames/respiration-interactive-page.html,external,,,external (not checked live),n/a — external,,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation.pptx,6,Bellringer,run,Khan Academy — Cellular respiration,https://www.khanacademy.org/science/high-school-biology/hs-energy-and-transport/hs-cellular-respiration,external,,,external (not checked live),n/a — external,,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation.pptx,8,Respiration runs photosynthesis in reverse,run,Cellular Respiration — CA2 worksheet,https://docs.google.com/document/d/1xBXmBuMX2Q24zgI4ZX9bzmEoR6d5emzK/edit?usp=sharing&ouid=112216964722103758648&rtpof=true&sd=true,gdoc/edit,1xBXmBuMX2Q24zgI4ZX9bzmEoR6d5emzK,33,OK — file found,kvd@answerableteaching.com : My Drive/BIOLOGY (Shared)/Cycle 06 — Cellular Respiration & Fermentation (Unit 1),,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation.pptx,11,Explore — the Respiration ATP Model,printed+run,https://answerable-biology-models.netlify.app/respiration.html,https://answerable-biology-models.netlify.app/respiration.html,external,,,external (not checked live),n/a — external,,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation.pptx,18,Day 1 activity · Critical Aspect 1,run,Open: Cellular Respiration — CA1 Worksheet (in this cycle's folder),https://docs.google.com/document/d/1wBLxic3jHtPKsO8eHRWXuZ5C1FbmBrvY/edit?usp=sharing&ouid=112216964722103758648&rtpof=true&sd=true,gdoc/edit,1wBLxic3jHtPKsO8eHRWXuZ5C1FbmBrvY,33,OK — file found,kvd@answerableteaching.com : My Drive/BIOLOGY (Shared)/Cycle 06 — Cellular Respiration & Fermentation (Unit 1),,
Cycle 06,Cycle 06 — Cellular Respiration & Fermentation (Unit 1),▶ LIVE — Cycle 06 — Cellular Respiration & Fermentation.pptx,26,Day 2 activity · Critical Aspect 2,run,Open: Science World — Yeast-Inflated Balloons,https://docs.google.com/document/d/10J3Ixd3fyWUTLAQXfhwynAe0yvFzWbQx/edit?usp=sharing&ouid=112216964722103758648&rtpof=true&sd=true,gdoc/edit,10J3Ixd3fyWUTLAQXfhwynAe0yvFzWbQx,33,OK — file found,kvd@answerableteaching.com : My Drive/BIOLOGY (Shared)/Cycle 06 — Cellular Respiration & Fermentation (Unit 1),,
